DR_NO,Date Rptd,DATE OCC,DATE OCC,month,day,year,weeknum,dayofweek,month_text,week_text,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200815333,10/15/2020 0:00,10/15/2020 0:00,44119,10,15,2020,42,5,October,Thursday,2000,8,West LA,814,2,624,BATTERY - SIMPLE ASSAULT,0417 0344 1823,50,F,W,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,100 S  ACARI                        DR,,34.0701,-118.4679
210816993,11/24/2021 0:00,4/28/2020 0:00,43949,4,28,2020,18,3,April,Tuesday,100,8,West LA,859,2,354,THEFT OF IDENTITY,0100 0930 1822,27,M,W,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,8500    CASHIO                       ST,,34.0507,-118.3762
200810920,6/20/2020 0:00,6/20/2020 0:00,44002,6,20,2020,25,7,June,Saturday,1000,8,West LA,841,2,624,BATTERY - SIMPLE ASSAULT,1202 0448,78,F,W,510,NURSING/CONVALESCENT/RETIREMENT HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,12100    SANTA MONICA                 BL,,34.0423,-118.4656
200811087,6/24/2020 0:00,6/23/2020 0:00,44005,6,23,2020,26,3,June,Tuesday,2200,8,West LA,898,2,624,BATTERY - SIMPLE ASSAULT,416,24,M,W,514,GROUP HOME,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AO,Adult Other,624,,,,8900    HARGIS                       ST,,34.0352,-118.387
200812213,7/23/2020 0:00,6/22/2020 0:00,44004,6,22,2020,26,2,June,Monday,2005,8,West LA,898,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",913,42,F,W,501,SINGLE FAMILY DWELLING,,,AO,Adult Other,956,,,,2800 S  BEDFORD                      ST,,34.0346,-118.3857
200815521,10/20/2020 0:00,9/18/2020 0:00,44092,9,18,2020,38,6,September,Friday,1400,8,West LA,852,2,354,THEFT OF IDENTITY,1822 0100 0928,32,F,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,354,,,,1600    BARRY                        AV,,34.042,-118.4531
200816200,11/8/2020 0:00,11/7/2020 0:00,44142,11,7,2020,45,7,November,Saturday,1000,8,West LA,849,2,886,DISTURBING THE PEACE,1501 0603 0361,58,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,886,,,,1200 S  HOLT                         AV,,34.0561,-118.3784
200815782,10/27/2020 0:00,10/27/2020 0:00,44131,10,27,2020,44,3,October,Tuesday,2010,8,West LA,884,2,626,INTIMATE PARTNER - SIMPLE ASSAULT,2000 0416 2004 1218,35,F,W,101,STREET,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,626,,,,SEPULVEDA,TENNESSEE,34.0387,-118.4366
200815680,10/25/2020 0:00,10/24/2020 0:00,44128,10,24,2020,43,7,October,Saturday,1800,8,West LA,855,1,310,BURGLARY,1822 1420 0344,33,M,O,501,SINGLE FAMILY DWELLING,,,IC,Invest Cont,310,,,,1400 S  BENTLEY                      AV,,34.0509,-118.4459
200812231,7/23/2020 0:00,5/15/2020 0:00,43966,5,15,2020,20,6,May,Friday,800,8,West LA,886,2,956,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",1906,44,M,W,502,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",,,AO,Adult Other,956,,,,1100    ROXBURY                      DR,,34.0567,-118.4055
