DR_NO,Date Rptd,WRONG,WRONG,RIGHT,RIGHT,Date Rptd,WRONG,RIGHT,Year,Month,Day,Hour,Weekday,Weekday_FORMULA,Weekday_TEXT
200206684,2/23/2020 0:00,#VALUE!,7/12/1905 0:00,Sunday,2020,43884,7/12/1905 0:00,2020,2020,2,23,0,1,Sun,Sun
200104417,1/6/2020 0:00,#VALUE!,7/12/1905 0:00,Monday,2020,43836,,2020,2020,1,6,0,2,Mon,Mon
200104511,1/8/2020 0:00,#VALUE!,7/12/1905 0:00,Wednesday,2020,43838,,2020,2020,1,8,0,4,Wed,Wed
200104664,1/9/2020 0:00,#VALUE!,7/12/1905 0:00,Thursday,2020,43839,,2020,2020,1,9,0,5,Thu,Thu
200104674,1/9/2020 0:00,#VALUE!,7/12/1905 0:00,Thursday,2020,43839,,2020,2020,1,9,0,5,Thu,Thu
200104881,1/13/2020 0:00,#VALUE!,7/12/1905 0:00,Monday,2020,43843,,2020,2020,1,13,0,2,Mon,Mon
202106752,3/1/2020 0:00,#VALUE!,7/12/1905 0:00,Sunday,2020,43891,,2020,2020,3,1,0,1,Sun,Sun
200105235,1/18/2020 0:00,#VALUE!,7/12/1905 0:00,Saturday,2020,43848,,2020,2020,1,18,0,7,Sat,Sat
200105259,1/18/2020 0:00,#VALUE!,7/12/1905 0:00,Saturday,2020,43848,,2020,2020,1,18,0,7,Sat,Sat
200511186,6/29/2020 0:00,#VALUE!,7/12/1905 0:00,Monday,2020,44011,,2020,2020,6,29,0,2,Mon,Mon
200105830,1/27/2020 0:00,#VALUE!,7/12/1905 0:00,Monday,2020,43857,,2020,2020,1,27,0,2,Mon,Mon
200105919,1/28/2020 0:00,#VALUE!,7/12/1905 0:00,Tuesday,2020,43858,,2020,2020,1,28,0,3,Tue,Tue
200105943,1/29/2020 0:00,#VALUE!,7/12/1905 0:00,Wednesday,2020,43859,,2020,2020,1,29,0,4,Wed,Wed
200106244,2/2/2020 0:00,#VALUE!,7/12/1905 0:00,Sunday,2020,43863,,2020,2020,2,2,0,1,Sun,Sun
200106493,2/5/2020 0:00,#VALUE!,7/12/1905 0:00,Wednesday,2020,43866,,2020,2020,2,5,0,4,Wed,Wed
201907299,3/7/2020 0:00,#VALUE!,7/12/1905 0:00,Saturday,2020,43897,,2020,2020,3,7,0,7,Sat,Sat
200200504,1/2/2020 0:00,#VALUE!,7/12/1905 0:00,Thursday,2020,43832,,2020,2020,1,2,0,5,Thu,Thu
